titelde,SDGs,lernergebnissedeUNDlerninhaltede
"Analyse von (Online) Social Data: methodologische Herausforderungen, soziale Folgen und Grenzen","4, 9, 16","Studierende, die diesen Kurs erfolgreich absolviert haben, kennen wesentliche methodologische Herausforderungen, gesellschaftliche Folgen und ethische Grenzen der Analyse und Nutzung von (Online) Social Data und koennen sie beschreiben. Zudem koennen sie exemplarisch Techniken zum Umgang mit diesen Herausforderungen, Folgen und Grenzen sowie der Vermeidung von Fallstricken und Fehlern beschreiben, vergleichen und beurteilen. Sie nehmen eine kritische Haltung zu Entscheidungen und Urteilen ein, sowohl zu denen, die sie in der Literatur finden wie auch zu ihren eigenen. Sie kennen einschlaegige Verhaltenskodizes fuer Informatiker:innen und koennen diese zueinander in Beziehung setzen und vergleichen. Zudem koennen sie beurteilen und begruenden, inwieweit und warum sie an diese Regeln gebunden sind.  Studierende koennen aktuelle Forschungsliteratur ueber diese Themen hinsichtlich ihrer methodologischen Herausforderungen, gesellschaftlichen Folgen und ethischen Grenzen lesen, verstehen, vorstellen und schriftlich ausarbeitendiskutieren. Sie koennen diese Arbeiten kritisch lesen, d.h. erkennen, ob und wie sich die Autor:innen positionieren hinsichtlich der Herausforderungen, Folgen und Grenzen der verwendeten Methoden. Informatiker:innen arbeiten in zunehmendem Masse mit „Social Data“, oft „Online Social Data“, also Daten, die aus Online-Quellen stammen, online erhoben werden, etc.. Sie analysieren diese Daten, bauen auf Basis ihrer Erkenntnisse Tools und Plattformen, und gestalten das Leben vieler Menschen und anderer Lebensformen mit. Es ist daher wichtig, Fehler und Fallstricke einer naiven Datenanalyse und -verarbeitung zu vermeiden, die in den vergangenen Jahren immer deutlicher zu Tage getreten sind und in einer Vielzahl von Forschungsarbeiten, Presseberichten und Diskussionen in Sozialen Medien selbst thematisiert werden.  Beispiele fuer solche Daten sind user-generated content, explizite oder implizite Beziehungen zwischen Menschen, und Verhaltensspuren wie z.B. Clickstreams. Forscher:innen und Praktiker:innen erhoffen sich von diesen Daten, zu verstehen, „was die Welt denkt“ - ueber ein soziales Thema, eine Marke, ein Produkt, eine:n Politiker:in, etc. Sie erhoffen auch eine Unterstuetzung von Entscheidungen in Bereichen wie Politik, Gesundheitswesen, Wirtschaft und Anwendungen des „Social Good“. Sie erhoffen sich durch die Auswertung dieser Daten auch eine Entscheidungshilfe in Bereichen wie Politik, Gesundheitswesen, Wirtschaft und Anwendungen des „Social Good“.zu erlangen. Beispiele fuer Fallstricke sind Biases, Luecken und UngenauigkeitenFehler, die schon in den Daten sind oder durch deren Verarbeitung entstehen. Hinzu kommen methodische Grenzen und Fallstricke, z.B. in den ethischen Fragen der Datenanalyse, in der Auswertung von Resultaten, und in unbeabsichtigten Folgen.  In diesem Modul betrachten wir • Typische Herausforderungen und Fallstricke, die in den unterschiedlichen Phasen der Verarbeitung sozialer Daten auftreten • Typische unbeabsichtigte Folgen der Nutzung (inkl. Analyse) sozialer Daten • Wesentliche Grenzen der Nutzung (inkl. Analyse) sozialer Daten  • Methoden, um diese Herausforderungen, Folgen und Grenzen zu erkennen, zu verstehen und (soweit moeglich) zu messen • Was wir als Forscher:innen und Praktiker:innen (individuell und gemeinsam) tun koennen und muessen, um unserer sich hieraus ergebenden sozialen und politischen Verantwortung gerecht zu werden. Nach einem ueberblick im ersten Teil des Moduls (interaktive Vorlesung mit Hausaufgaben) erproben Studierende im Seminarteil ihre Faehigkeiten durch die Analyse einer wissenschaftlichen Veroeffentlichung auf Herausforderungen, Folgen und Grenzen, die in Form eines Vortrags und einer schriftlichen Hausarbeit praesentiert wird. Die spezifischen Inhalte und Publikationen des Moduls werden aktuellen Entwicklungen und den Interessen der Teilnehmer:innen angepasst; sie sind auf der Webseite des Moduls zu finden."
Aktuelle Themen in der Analyse von (Online) Social Data,"4, 9, 16","Studierende verfuegen ueber vertiefte Kenntnisse zu aktuellen Themen im Bereich der Analyse von (Online) Social Data. Sie sind in der Lage, sich ein neues Thema eigenstaendig zu erarbeiten, dieses in einem Vortrag und einer schriftlichen Ausarbeitung vermitteln. Dabei koennen sie die angewendeten Methoden erklaeren, sowie Forschungsergebnisse bewerten und kritisch hinterfragen. Weiterhin verfuegen sie ueber ein Grundverstaendnis von Methoden im Bereich (Online) Social Data, welches sie dazu befaehigt geeignete Methoden fuer die Loesung einer Fragestellung auszuwaehlen. In diesem Seminar erfolgt zunaechst eine vertiefende Einfuehrung in Methoden und deren Anwendung im Bereich von (Online) Social Media. Dabei wird auf die historischen Hintergruende, Durchfuehrung und gesellschaftlichen Konsequenzen der Methoden eingegangen. Anschliessend beschaeftigen sich die Studierenden mit wissenschaftlichen Publikationen zum Thema (Online) Social Data, treffen eine Auswahl und praesentieren eine dieser Publikationen in Form eines Vortrages. Dabei gehen sie auf die angewandte Methode ein und diskutieren, inwiefern diese fuer den Anwendungsfall geeignet war und wo sich Herausforderungen und Fallstricke ergaben. Ausserdem stellen sie vor, welche moeglichen unbeabsichtigten Folgen entstehen koennen. Zudem schreiben sie eine bewertende schriftliche Ausarbeitung ueber die ausgewaehlte Publikation.  Die spezifischen Inhalte und Publikationen des Moduls werden aktuellen Entwicklungen und den Interessen der Teilnehmer:innen angepasst; sie sind auf der Webseite des Moduls zu finden. Das Seminar baut auf dem Modul Analyse von (Online) Social Data: methodologische Herausforderungen, soziale Folgen und Grenzen auf und vertieft das dort erworbene Wissen und Kenntnisse."
Aktuelle Themen in visueller Wahrnehmungsforschung,"4, 9","AbsolventInnen des Moduls haben ein solides Grundverstaendnis fuer zentrale Problemstellungen der visuellen Wahrnehmungsforschung. Sie kennen wissenschaftliche Methoden zur Untersuchung menschlicher Wahrnehmungsprozesse und sind in der Lage diese Methoden zielfuehrend in eigenen Untersuchungen einzusetzen. Die Studierenden verstehen, interpretieren und beurteilen einschlaegige Originalarbeiten. Sie praesentieren und diskutieren diese vor einem Fachpublikum. Sie sind befaehigt schriftliche Dokumentationen des eigenen wissenschaftlichen Vorgehens zu verfassen. Fragestellungen und Themen im Bereich der angewandten und grundlagenorientierten visuellen Wahrnehmungsforschung. Implementieren von Computationalen Modellen.  Visualisieren von empirischen oder Simulationsergebnissen. Anleitung zum selbstaendigen Arbeiten und zum Arbeiten in der Gruppe.  Achtsamkeit auf Lern- und Wissenserwerbskompetenzen."
Programmieren I,"4, 9",Die Studierenden haben mit Abschluss des Moduls folgende Qualifikationen erworben:  - Kenntnisse der imperativen und objektorientierten Programmierung am Beispiel von Java - Grundkenntnisse wesentlicher Datenstrukturen wie beispielsweise Listen oder Baeume - Grundkenntnisse von Sortier- und Suchalgorithmen - Grundkenntnisse der nebenlaeufigen und verteilten Programmierung. In diesem Modul werden grundlegende Komponenten einer objektorientierten Sprache am Beispiel von Java vermittelt:  - Datenstrukturen - Such- und Sortieralgorithmen - Ein- und Ausgabe mit Streams - Parallele Programmierung mit Threads - Netzwerkkommunikation mit Sockets
Sprach- und Audiotechnologie in der Medizin,"3, 4, 9","Die Studierenden sind in der Lage, Methoden der Sprach- und Audiosignalverarbeitung zu nutzen, um Probleme in medizinischen Anwendungen, wie audiobasierter Diagnostik oder dem Entwurf von Hoergeraeten oder Cochlea-Implantaten, zu loesen. Im praktischen Teil der Veranstaltung haben Sie gelernt, die relevanten Algorithmen zu implementieren, exemplarisch zu verwenden, und die Ergebnisse zu visualisieren und zu erlaeutern. Zudem sind Sie Lage, sich selbststaendig Wissen zu komplexen Themengebieten anzueignen und fuer die Arbeitsgruppe aufzubereiten, zu praesentieren und zu diskutieren. Im Seminar werden nach einer allgemeinen Einfuehrung zu dem Themenkreis der Veranstaltung von den Teilnehmern Vortraege zu verschiedenen Methoden der Sprach- und Audiotechnverarbeitung in der Medizintechnik gehalten. Alle Teilnehmenden implementieren einen Algorithmus oder vollziehen eine vorliegende quelloffene Implementierung nach und testen sie auf eigenen Daten. Die Vorfuehrung und kritische Diskussion der Ergebnisse des implementierten oder angewendeten Algorithmus ist ein Teil der Praesentation. Je nach persoenlichem Interesse der Teilnehmer variieren die Schwerpunkte."
Projekt Auswahl eines Speichersystems,"7, 9, 11, 13","Die Studierenden sind in der Lage elektrische und elektrochemische Energiespeichersysteme zu vergleichen und die geeignete Technologie fuer eine gegebene Anwendung, z.B. erneuerbare Energien oder Elektromobilitaet, auszuwaehlen. Sie sind in der Lage, wirtschaftliche, technische und Nachhaltigkeits-Aspekte in die Auswahl einzubeziehen und eine begruendete Auswahl zu treffen. Dieses Modul ist etwa die Haelfte des Moduls 40812 Energy Storage Technologies. Weggelassen wird der Hauptteil der uebung, in dem gelernt wird, technische Rechnungen zu den Speichertechnologien durchzufuehren, die dann im schriftlichen Test abgefragt werden. Die Lernergebnisse dieses Moduls sind daher begrenzt auf die Auswahl und die Kostenrechnung der Speicher, die in der Gruppenarbeit erarbeitet werden. In dem Modul werden verschiedene Energiespeichertechnologien bezueglich ihrer elektrischen Eigenschaften und Eignung fuer verschiedene Anwendungen betrachtet. Im begrenzten Umfang wird auch die Funktionsweise und die Alterung vorgestellt. Kostenrechnungen werden vorgestellt. Behandelte Technologien: Kondensatoren, Spulen, Schwungraeder, Pumpspeicherkraftwerke, Druckluft, Bleibatterien, Lithiumbatterien, NiCd, Hochtemperaturbatterien, Redox-Flow-Batterien, thermische Speicher, Brennstoffzellen. Fuer die erfolgreiche Teilnahme an dem Modul ist vor allem die Vorlesung relevant. Von der uebung werden nur zwei Termine benoetigt, wo die Kostenrechnung und die Technologieauswahl erklaert werden. Deshalb ist die uebung nicht als Teil des Moduls aufgelistet."
Klassische Algorithmen der Computer-Graphik,"4, 9","Die Studierenden haben sich einen klassischen Algorithmus in der Computer-Graphik angeeignet. Diesen Algorithmus koennen sie ueberzeugend praesentieren und anderen Studierenden vermitteln. Sie koennen Praesentation strukturiert erstellen, systematisch verbessern und nutzen dabei unterschiedliche Praesentationstechniken. Die Seminarthemen werden aus einem Katalog klassischer Algorithmen in der Computer-Graphik und angrenzender Disziplinen gewaehlt. Dies sind u.a. Datenstrukturen fuer den 3D-Raum, prozedurale Generierung von Texturen oder Geometrie, Bildkompression, Bildsynthese, Rasterisierung, einfache physikalische Simulation, Geometrierepraesentation. Siehe: http:www.cg.tu-berlin.deteaching"
World of Proofcraft,"4, 9","Absolvent:innen dieses Moduls beherrschen die Grundlagen des logisch-mathematischen Beweisens. Einerseits besitzen sie die Faehigkeit, Beweise auf klassische Weise in einer Mischung von formaler und natuerlicher Sprache zu fuehren.  Andererseits sind sie in der Lage, Beweise mit Hilfe eines Beweisassistenten zu fuehren und zu formalisieren. Durch die Gegenueberstellung der Beweisarten entwickeln sie ein Bewusstsein fuer die verschiedenen Grade der Formalitaet von Beweisen und fuer den Transfer zwischen diesen. Weiterhin koennen die Absolvent:innen ihren eigenen Lernprozess darstellen. Sie sind in der Lage ihr Wissen zu kontextualisieren und methodisch zu reflektieren. - Aussagenlogik und Praedikatenlogik - Beweisassistenten - Beweistechniken - Diskrete Strukturen - Reflexionsmethoden"
Ausgewaehlte Kapitel aus dem Gebiet der Sensorik und Aktuatorik,"4, 9","Es werden ueber die Standard-Lehrveranstaltungen des Bachelor-Studiums hinausgehende spezielle Fragestellungen der Sensorik und Aktuatorik eigenstaendig erarbeitet. Dabei wird ueberwiegend englischsprachige Fachliteratur verwendet. Die Ergebnisse werden abschliessend einem Fachpublikum praesentiert. Die Studierenden erwerben erste Erfahrungen in der eigenstaendigen Aneignung von Fachkenntnissen und deren Praesentation. Das Seminar beschaeftigt sich mit ausgewaehlten Themen, die dem Bereich der Sensorik und Aktuatorik zuzurechnen sind, jedoch nicht in den Lehrveranstaltungen des Studiums behandelt werden."
Wissenschaftliche Fragestellungen aus dem Gebiet der Sensorik und Akuatorik,"4, 9","ueberschaubare wissenschaftliche Fragestellungen aus dem Bereich der Sensorik und Aktuatorik werden eigenstaendig aus der englischsprachigen Fachliteratur erarbeitet und verstanden. Die Studierenden sind in der Lage, das Thema in adaequater Form einem Fachpublikum darzulegen. Das Seminar beschaeftigt sich mit aktuellen wissenschaftlichen Forschungsthemen aus dem Bereich der Sensorik und Aktuatorik."
Programmierpraktikum: Analyse von (Online) Social Data,"4, 9, 16","Die Studierenden  - verfuegen ueber ein solides Grundverstaendnis ueber Verzerrungen und plattformspezifische Eigenschaften von Datensaetzen, welches ihnen dabei hilft, Limitationen von Forschungsvorhaben darzustellen. - kennen Methoden der Datensammlung und -beschaffung und koennen fuer ihr Vorhaben geeignete Methoden auswaehlen und anwenden.  - kennen verschiedene Metriken, die bei der Analyse von Social Data angewendet werden und koennen diese interpretieren und vergleichen.  - lernen Methoden der Analyse von Social Data kennen und koennen diese auf ausgewaehlte Datensaetze anwenden. Die Studierenden lernen, welche Aspekte bei der Datensammlung von Online Social Data zu beachten sind, wie man Datensaetze von Online Social Data zusammenstellt oder wo man fertige Datensaetze findet, Best Practices fuer Datensatzannotation, sowie Methoden der Analyse von Online Social Data, wie Social Network Analysis und Sentiment Analysis."
Programmierpraktikum Large-scale Data Engineering,"4, 9","In diesem Projekt-Modul erlernen die Studierenden das Erstellen von Prototypen fuer spezifische Projekte sowie das professionelle Praesentieren dieser Prototypen in Form eines Vortrags. Diese Aspekte werden mit einem speziellen Fokus auf die Forschungsgebiete Data Engineering, Data Management und Machine Learning Systems abgedeckt. Dieses Modul umfasst ein Programmier-Projekt im Kontext von Big Data Engineering, d.h., zu Themen im Umfeld von skalierbaren Daten- und ML-Systemen. Konkret ist das Modul wie folgt strukturiert: * Auswahl eines Projekts * Diskussionsrunden zu Design, Implementierung, Tests und Experimenten * Prototypische Implementierung, Tests und Experimente * 15min Vortrag zum erstellten Prototypen"
Seminar Large-scale Data Engineering,"4, 9","In diesem Seminar-Modul erlernen die Studierenden das kritische Lesen wissenschaftlicher Publikationen, die wissenschaftliche Literatur-Recherche zu einem vorgegebenen Thema, das Schreiben von qualitativ hochwertigen wissenschaftlichen Arbeiten, sowie das professionelle Praesentieren einer wissenschaftlichen Arbeit in Form eines Vortrags. All diese Aspekte werden mit einem speziellen Fokus auf die Forschungsgebiete Data Engineering, Data Management und Machine Learning Systems abgedeckt. Dieses Modul umfasst ein Seminar im Kontext von Big Data Engineering, d.h., zu Themen im Umfeld von skalierbaren Daten- und ML-Systemen. Konkret ist das Modul wie folgt strukturiert: * 3 Vorlesungen zu wissenschaftlichen Methoden (Struktur wissenschaftlicher Arbeiten, Lesen und Schreiben wissenschaftlicher Arbeiten, Experimente und Reproduzierbarkeit) * Lesen ausgewaehlter Papiere und Schreiben einer 6-seitigen Zusammenfassung (in LaTeX mit gegebener Vorlage) * 20min Vortrag des zusammengefassten Themas"
System-on-Chip (SoC) + RISC-V Lab,"4, 9","Nach erfolgreichem Abschluss des Moduls besitzen die Studierenden fortgeschrittene Kenntnisse ueber den Entwurf von hochkomplexen digitalen Schaltungen und Systemen bzw. Systems-on-Chip (SoC). Die Kenntnisse schliessen dabei die folgenden Bereiche ein: Grundlagen des Entwurfs von komplexen SoCs, Design-Flow, IP Reuse, Hardware-Software Co-Design, SoC-Architekturen, Echtzeit-Betriebssysteme, Prozessorarchitekturen, Speichertypen und Speicherhierachie, On-Chip- und Off-Chip-Bussysteme, Test und Debug-Methoden. Im Rahmen des Projekts erlernen die Studierenden darueber hinaus folgende praktischen Faehigkeiten: - Umgang mit Software-Werkzeugen zum Entwurf komplexer digitaler Hardware  - Navigation von komplexen Design Flows fuer FPGA- oder IC-Entwicklung - Erweiterung von bestehenden digitalen Hardware-Projekten, z. B. um Peripheriemodule, Bus-Komponenten, Interrupt-Quellen, Bus-Master - Einschaetzung und Bewertung der Machbarkeit und des Implementierungsaufwands von Projektideen im Bereich des digitalen Schaltungsentwurfs - Schrittweise Umsetzung von Projektideen im Bereich des digitalen Schaltungsentwurfs: Spezifizierung, Implementierung, Verifikation, Demonstration mittels FPGA-Prototyp In dem Modul werden fortgeschrittene Konzepte und Methoden des digitalen Hardwareentwurfs und der Programmierung von Systems-on-Chip (SoC) und eingebetteten Systemen behandelt. Inhalte der Vorlesung sind insbesondere: Grundlagen des Entwurfs von komplexen SoCs, Design-Flow, IP Reuse, Hardware-Software Co-Design, SoC-Architekturen, Echtzeit-Betriebssysteme, Prozessorarchitekturen, Speichertypen und Speicherhierachie, On-Chip- und Off-Chip-Bussysteme, Test und Debug-Methoden. In dem Projekt werden die Vorlesungsinhalte in Gruppen von 3 - 4 Personen praktisch angewendet. Dabei wird der Umgang mit Tools fuer den Entwurf von komplexen digitalen Schaltungen im Rahmen eines umfangreichen Design-Flows mit Hardware-Software-Codesign erlernt. Eine FPGA-Prototypenplattform kommt dabei zum Einsatz. In der Einfuehrungsphase wird eine Reihe von uebungsblaettern bearbeitet. Im Anschluss daran wird eine selbstdefinierte Projektidee auf Basis des Beispielsystems umgesetzt."
Applied Security Lab,"4, 9, 16","Die Studierenden erlernen grundlegende Kenntnisse und Faehigkeiten im Bereich der Systemsicherheit. Sie sind in der Lage, Methoden und Werkzeuge zur Sicherheits- und Datenschutz-Analyse von verschiedenen IT-Systemen auszuwaehlen und zielfuehrend einzusetzen. Sie koennen Schutzziele identifizieren und Strategien entwickeln, um diese anzugreifen und zu schuetzen. Die Studierenden verstehen ethische Aspekte der Sicherheitsanalyse und sind in der Lage, ihre Rolle in Gesellschaft und Politik zu reflektieren. Das System Security Lab beschaeftigt sich mit der Sicherheit von IT-Systemen. Es bietet eine Einfuehrung in die praktische Systemsicherheit und dient als Vorbereitung fuer spaetere fortgeschrittene Praktika. Der Schwerpunkt des Praktikums liegt auf grundlegenden Konzepten und Techniken der Rechner- und Netzsicherheit. Dazu gehoert die Entwicklung von Strategien und Werkzeugen, um reale IT-Systeme zu analysieren, ihre Schwachstellen zu erforschen, Angriffsstrategien zu entwerfen und moegliche Verteidigungsmassnahmen zu konstruieren. In jeder uebungseinheit wird die Sicherheit von unterschiedlichen IT-Systemen analysiert, die von Android-Anwendungen (small-scale system) bis hin zu Netzwerken reichen (large-scale system)."
